Order	Category	Name	Price	Mass	Tags	Motor	Motor Speed	Force	Power	Range
1	Blocks	Block	2	1	"blocks, basic"					
2	Blocks	Handle	5	1	"blocks, basic"					
3	Blocks	Inverse Pyramid	2	0.75	"blocks, basic"					
4	Blocks	Inverse Pyramid 1X2	2	1.5	"blocks, basic"					
5	Blocks	Inverse Pyramid 1X4	4	3	"blocks, basic"					
6	Blocks	Inverse Pyramid 2X2	4	3	"blocks, basic"					
7	Blocks	Inverse Pyramid 2X4	8	6	"blocks, basic"					
8	Blocks	Inverse Pyramid 4X4	16	12	"blocks, basic"					
9	Blocks	Ladder	5	3	"blocks, basic"					
10	Blocks	Physics Flooder	20	1	blocks					
11	Blocks	Pipe Angle	5	1	"blocks, basic"					
12	Blocks	Pipe Angle (Enclosed)	5	1	blocks					
13	Blocks	Pipe angle Corner	5	1	"blocks, basic"					
14	Blocks	Pipe angle Corner (Enclosed)	5	1	blocks					
15	Blocks	Pipe Cross	5	1	"blocks, basic"					
16	Blocks	Pipe Cross (Enclosed)	5	1	blocks					
17	Blocks	Pipe Cross Corner	5	1	"blocks, basic"					
18	Blocks	Pipe Cross Corner (Enclosed)	5	1	"blocks, basic"					
19	Blocks	Pipe Omni	5	1	"blocks, basic"					
20	Blocks	Pipe Omni (Enclosed)	5	1	blocks					
21	Blocks	Pipe Straight	5	1	"blocks, basic"					
22	Blocks	Pipe Straight (Enclosed)	5	1	blocks					
23	Blocks	Pipe T-Piece	5	1	"blocks, basic"					
24	Blocks	Pipe T-Piece (Enclosed)	5	1	blocks					
25	Blocks	Pipe T-Piece Corner	5	1	"blocks, basic"					
26	Blocks	Pipe T-Piece Corner (Enclosed)	5	1	blocks					
27	Blocks	Pyramid	2	0.25	"blocks, basic"					
28	Blocks	Pyramid 1X2	2	0.5	"blocks, basic"					
29	Blocks	Pyramid 1X4	4	1	"blocks, basic"					
30	Blocks	Pyramid 2X2	4	1	"blocks, basic"					
31	Blocks	Pyramid 2X4	8	2	"blocks, basic"					
32	Blocks	Pyramid 4X4	16	4	"blocks, basic"					
33	Blocks	Stair Step	20	6	"blocks, basic"					
34	Blocks	Stair Top	20	6	"blocks, step, basic"					
35	Blocks	Wedge	2	0.5	"blocks, basic"					
36	Blocks	Wedge 1X2	2	1	"blocks, basic"					
37	Blocks	Wedge 1X4	4	2	"blocks, basic"					
38	Blocks	Weight Block	5	10	"blocks, basic"					
39	Vehicle Control	Compact Pilot Seat	100	7	"vehicle control, basic, seat, control, pilot, on/off, number, composite, audio"					
40	Vehicle Control	Control Fin Large	350	10	"vehicle control, boat, basic, number, electric"					
41	Vehicle Control	Control Fin Medium	150	5	"vehicle control, boat, basic, number, electric"					
42	Vehicle Control	Control Fin Small	50	2	"vehicle control, boat, basic, number, electric"					
43	Vehicle Control	Control Handle	50	1	"vehicle control, basic, seat, control, pilot, on/off, number, composite, audio"					
44	Vehicle Control	Control Surfrace (Large)	500	25	"vehicle control, airplane, aeroplane, basic, number, electric"					
45	Vehicle Control	Control Surface (Medium)	250	15	"vehicle control, airplane, aeroplane, basic, number, electric"					
46	Vehicle Control	Control Surface (Small)	150	10	"vehicle control, airplane, aeroplane, basic, number, electric"					
47	Vehicle Control	Driver Seat	100	10	"vehicle control, basic, seat, control, pilot, on/off, number, composite, audio"					
48	Vehicle Control	Fin Rudder	100	5	"vehicle control, boat, basic, number, electric"					
49	Vehicle Control	Friction Pad	15	1	vehicle control					
50	Vehicle Control	Gyro	500	10	"vehicle control, helicopter, number, on/off, electric"					
51	Vehicle Control	Helm	150	15	"vehicle control, basic, seat, control, pilot, on/off, number, composite, audio"					
52	Vehicle Control	Keep Active Block	100	1	vehicle control					
53	Vehicle Control	Large Landing Wheel	50	8	"vehicle control, basic, on/off, number"					
54	Vehicle Control	Medium Wheel	100	10	"vehicle control, steerable, steering, basic, on/off, power, number"					
55	Vehicle Control	Pilot Seat	100	24	"vehicle control, basic, seat, control, pilot, on/off, number, composite, audio"					
56	Vehicle Control	Pilot Seat (Hotas)	250	50	"vehicle control, basic, seat, control, pilot, on/off, number, composite, audio"					
57	Vehicle Control	Radio RX Huge	3000	20	"vehicle control, audio, composite, electric, number, on/off"					
58	Vehicle Control	Radio RX Large	1000	12	"vehicle control, audio, composite, electric, number, on/off"					
59	Vehicle Control	Radio RX Medium	500	8	"vehicle control, audio, composite, electric, number, on/off"					
60	Vehicle Control	Radio RX Small	200	5	"vehicle control, audio, composite, electric, number, on/off"					
61	Vehicle Control	Radio Video Recv	1000	10	"vehicle control, video, electric, number"					
62	Vehicle Control	Radio Video Xmit	2000	10	"vehicle control, video, electric, number"					
63	Vehicle Control	Rudder	150	10	"vehicle control, boat, basic, number, electric"					
64	Vehicle Control	Ski	200	12	"vehicle control, number"					
65	Vehicle Control	Ski (Small)	100	8	"vehicle control, number"					
66	Vehicle Control	Small Wheel	30	5	"vehicle control, steerable, steering, basic, on/off, power, number"					
67	Vehicle Control	Tank Drive Wheel (Huge)	450	80	"vehicle control, steerable, steering, on/off, power"					
68	Vehicle Control	Tank Drive Wheel (Large)	350	40	"vehicle control, steerable, steering, on/off, power"					
69	Vehicle Control	Tank Drive Wheel (Medium)	300	30	"vehicle control, steerable, steering, on/off, power"					
70	Vehicle Control	Tank Drive Wheel (Small)	200	20	"vehicle control, steerable, steering, on/off, power"					
71	Vehicle Control	Tank Wheel (Huge)	350	80	"vehicle control, steerable, steering, on/off"					
72	Vehicle Control	Tank Wheel (Large)	250	40	"vehicle control, steerable, steering, on/off"					
73	Vehicle Control	Tank Wheel (Medium)	200	30	"vehicle control, steerable, steering, on/off"					
74	Vehicle Control	Tank Wheel (Small)	100	20	"vehicle control, steerable, steering, on/off"					
75	Vehicle Control	Wheel 3X3	100	10	"vehicle control, steerable, steering, basic, on/off, power, number"					
76	Vehicle Control	Wheel 3X3 (Suspension)	150	15	"vehicle control, steerable, steering, basic, on/off, power, number"					
77	Vehicle Control	Wheel 5X5	150	20	"vehicle control, steerable, steering, basic, on/off, power, number"					
78	Vehicle Control	Wheel 5X5 (Suspension)	200	30	"vehicle control, steerable, steering, basic, on/off, power, number"					
79	Vehicle Control	Wheel 7X7	200	40	"vehicle control, steerable, steering, basic, on/off, power, number"					
80	Vehicle Control	Wheel 7X7 (Suspension)	250	60	"vehicle control, steerable, steering, basic, on/off, power, number"					
81	Vehicle Control	Wheel 9X9	250	80	"vehicle control, steerable, steering, basic, on/off, power, number"					
82	Vehicle Control	Wheel 9X9 (Suspension)	300	120	"vehicle control, steerable, steering, basic, on/off, power, number"					
83	Vehicle Control	Wheel Coaster	25	4	"vehicle control, basic, on/off, number"					
84	Vehicle Control	Wing Front Section (Small)	100	5	"vehicle control, airplane, aeroplane, basic"					
85	Vehicle Control	Wing Section (Large)	500	20	"vehicle control, airplane, aeroplane, basic"					
86	Vehicle Control	Wing Section (Medium)	350	15	"vehicle control, airplane, aeroplane, basic"					
87	Vehicle Control	Wing Section (Small)	150	8	"vehicle control, airplane, aeroplane, basic"					
88	Vehicle Control	Wing Section (Xlarge)	800	30	"vehicle control, airplane, aeroplane, basic"					
89	Vehicle Control	Wing Scetion (Xxlarge)	1500	50	"vehicle control, airplane, aeroplane"					
90	Mechanics	Clutch	50	2	"mechanics, basic, power, number, electric"					
91	Mechanics	Compact Linear Track Base	20	2	"mechanics, number, electric"	10000	5			
92	Mechanics	Compact Linear Track Extension	20	1	mechanics					
93	Mechanics	Compact Robotic Pivot	40	1	"mechanics, number, electric"	200	5			
94	Mechanics	Compact Velocity Pivot	40	1	"mechanics, number, electric"	100	5			
95	Mechanics	Door Frame Controller	100	10	"mechanics, on/off"					
96	Mechanics	Door Frame Corner	50	15	mechanics					
97	Mechanics	Door Frame Edge	10	5	mechanics					
