File Name	InGame Name	Property Name	Biome
arctic_island_oil_refinery			
arctic_island_playerbase	Arctic Island Base		
arctic_island_shipbreaking			
arctic_island_survey			
arctic_tile_11			
arctic_tile_12_oilrig	Arctic Oil Platform		
arctic_tile_13			
arctic_tile_21			
arctic_tile_22	Arctic Mainland Outpost		
arctic_tile_23			
arctic_tile_31			
arctic_tile_32			
arctic_tile_33			
arid_01			
arid_02			
arid_03			
arid_04			
arid_05			
arid_06			
arid_07			
arid_08			
arid_09			
arid_10			
arid_11			
arid_12			
arid_13			
arid_14			
arid_island_10_10			
arid_island_10_11			
arid_island_10_12			
arid_island_10_13			
arid_island_10_14			
arid_island_10_15			
arid_island_10_3			
arid_island_10_4			
arid_island_10_5			
arid_island_10_6			
arid_island_10_7			
arid_island_10_8			
arid_island_10_9			
arid_island_11_10			
arid_island_11_11			
arid_island_11_12			
arid_island_11_13			
arid_island_11_14			
arid_island_11_15			
arid_island_11_4			
arid_island_11_5			
arid_island_11_6			
arid_island_11_7			
arid_island_11_8			
arid_island_11_9			
arid_island_12_10			
arid_island_12_11			
arid_island_12_12			
arid_island_12_13			
arid_island_12_14			
arid_island_12_15			
arid_island_12_3			
arid_island_12_4			
arid_island_12_5			
arid_island_12_6			
arid_island_12_7			
arid_island_12_8			
arid_island_12_9			
arid_island_13_10			
arid_island_13_11			
arid_island_13_12			
arid_island_13_13			
arid_island_13_14			
arid_island_13_15			
arid_island_13_3			
arid_island_13_4			
arid_island_13_5			
arid_island_13_6			
arid_island_13_7			
arid_island_13_8			
arid_island_13_9			
arid_island_14_10			
arid_island_14_11			
arid_island_14_12			
arid_island_14_13			
arid_island_14_14			
arid_island_14_15			
arid_island_14_3			
arid_island_14_4			
arid_island_14_5			
arid_island_14_6			
arid_island_14_7			
arid_island_14_8			
arid_island_14_9			
arid_island_15_10			
arid_island_15_11			
arid_island_15_12			
arid_island_15_13			
arid_island_15_14			
arid_island_15_15			
arid_island_15_3			
arid_island_15_4			
arid_island_15_5			
arid_island_15_6			
arid_island_15_7			
arid_island_15_8			
arid_island_15_9			
arid_island_16_10			
arid_island_16_11			
arid_island_16_12			
arid_island_16_13			
arid_island_16_14			
arid_island_16_15			
arid_island_16_4			
arid_island_16_5			
arid_island_16_6			
arid_island_16_7			
arid_island_16_8			
arid_island_16_9			
arid_island_17_10			
arid_island_17_11			
arid_island_17_12			
arid_island_17_13			
